regione,giorno,predizione_percentuale_vaccini
Abruzzo,1 Giugno,0.6240554410950037
Basilicata,1 Giugno,0.6051948668593938
Calabria,1 Giugno,0.5712403500400484
Campania,1 Giugno,0.5954485040650492
Emilia-Romagna,1 Giugno,0.6052926196517011
Friuli-Venezia Giulia,1 Giugno,0.6227763350748653
Lazio,1 Giugno,0.5962082898953223
Liguria,1 Giugno,0.6387745437324688
Lombardia,1 Giugno,0.6122205174841115
Marche,1 Giugno,0.6094653944369478
Molise,1 Giugno,0.6511480473584288
Piemonte,1 Giugno,0.5977693583980193
Provincia Autonoma Bolzano / Bozen,1 Giugno,0.6061156235069278
Provincia Autonoma Trento,1 Giugno,0.5537747019247538
Puglia,1 Giugno,0.6102536560993814
Sardegna,1 Giugno,0.5728542601949037
Sicilia,1 Giugno,0.5387801711921562
Toscana,1 Giugno,0.5906350377678362
Umbria,1 Giugno,0.6172855205644309
Valle d'Aosta / Vallée d'Aoste,1 Giugno,0.6058275152346745
Veneto,1 Giugno,0.5886861758372518
